route,travel_seconds,unloading_seconds,total_time_seconds,total_time_minutes,base_minutes_billed,overtime_minutes_billed,base_cost,overtime_cost,total_cost
Centre Port->Woolworths Porirua->Woolworths Johnsonville Mall->Centre Port,3220.04,6300.0,9520.04,158.66733333333335,158.66733333333335,0.0,528.8911111111112,0.0,528.8911111111112
Centre Port->Woolworths Porirua->Woolworths Newtown->Centre Port,3854.36,6300.0,10154.36,169.23933333333335,169.23933333333335,0.0,564.1311111111112,0.0,564.1311111111112
Centre Port->Woolworths Porirua->Metro Cable Car Lane->Centre Port,3406.9500000000003,5400.0,8806.95,146.7825,146.7825,0.0,489.27500000000003,0.0,489.27500000000003
Centre Port->Woolworths Porirua->Woolworths Lower Hutt->Centre Port,4379.76,6300.0,10679.76,177.996,177.996,0.0,593.32,0.0,593.32
Centre Port->Woolworths Porirua->Woolworths Queensgate->Centre Port,4579.63,6300.0,10879.630000000001,181.32716666666667,180.0,1.3271666666666704,600.0,6.082847222222239,606.0828472222222
Centre Port->Woolworths Porirua->Woolworths Tawa->Centre Port,3017.54,5400.0,8417.54,140.29233333333335,140.29233333333335,0.0,467.6411111111112,0.0,467.6411111111112
Centre Port->Woolworths Porirua->Woolworths Crofton Downs->Centre Port,3782.75,7200.0,10982.75,183.04583333333332,180.0,3.04583333333332,600.0,13.960069444444382,613.9600694444443
Centre Port->Woolworths Porirua->Woolworths Johnsonville->Centre Port,3197.63,7200.0,10397.630000000001,173.29383333333334,173.29383333333334,0.0,577.6461111111112,0.0,577.6461111111112
Centre Port->Woolworths Porirua->Woolworths Maidstone->Centre Port,6059.07,7200.0,13259.07,220.9845,180.0,40.9845,600.0,187.84562499999998,787.8456249999999
Centre Port->Woolworths Porirua->FreshChoice Cannons Creek->Centre Port,3445.19,6300.0,9745.19,162.41983333333334,162.41983333333334,0.0,541.3994444444445,0.0,541.3994444444445
Centre Port->Woolworths Aotea->Woolworths Kilbirnie->Centre Port,4478.02,5400.0,9878.02,164.63366666666667,164.63366666666667,0.0,548.7788888888889,0.0,548.7788888888889
Centre Port->Woolworths Aotea->Woolworths Wainuiomata->Centre Port,5802.049999999999,6300.0,12102.05,201.70083333333332,180.0,21.70083333333332,600.0,99.46215277777772,699.4621527777778
Centre Port->Woolworths Aotea->FreshChoice Woburn->Centre Port,4588.15,4500.0,9088.15,151.46916666666667,151.46916666666667,0.0,504.89722222222224,0.0,504.89722222222224
Centre Port->Woolworths Aotea->Woolworths Petone->Centre Port,3930.3199999999997,5400.0,9330.32,155.50533333333334,155.50533333333334,0.0,518.3511111111112,0.0,518.3511111111112
Centre Port->Woolworths Aotea->FreshChoice Cuba Street->Centre Port,3472.75,4500.0,7972.75,132.87916666666666,132.87916666666666,0.0,442.93055555555554,0.0,442.93055555555554
Centre Port->Woolworths Aotea->Woolworths Karori->Centre Port,4475.65,5400.0,9875.65,164.59416666666667,164.59416666666667,0.0,548.6472222222222,0.0,548.6472222222222
Centre Port->Woolworths Aotea->Woolworths Porirua->Centre Port,3482.52,6300.0,9782.52,163.042,163.042,0.0,543.4733333333334,0.0,543.4733333333334
Centre Port->Woolworths Aotea->Woolworths Upper Hutt->Centre Port,5670.48,5400.0,11070.48,184.50799999999998,180.0,4.507999999999981,600.0,20.66166666666658,620.6616666666666
Centre Port->Woolworths Aotea->Woolworths Johnsonville Mall->Centre Port,3289.34,5400.0,8689.34,144.82233333333335,144.82233333333335,0.0,482.7411111111112,0.0,482.7411111111112
Centre Port->Woolworths Aotea->Woolworths Newtown->Centre Port,3923.66,5400.0,9323.66,155.39433333333332,155.39433333333332,0.0,517.9811111111111,0.0,517.9811111111111
Centre Port->Woolworths Aotea->Metro Cable Car Lane->Centre Port,3476.25,4500.0,7976.25,132.9375,132.9375,0.0,443.125,0.0,443.125
Centre Port->Woolworths Aotea->Woolworths Lower Hutt->Centre Port,4357.35,5400.0,9757.35,162.6225,162.6225,0.0,542.075,0.0,542.075
Centre Port->Woolworths Aotea->Woolworths Queensgate->Centre Port,4557.22,5400.0,9957.220000000001,165.9536666666667,165.9536666666667,0.0,553.178888888889,0.0,553.178888888889
Centre Port->Woolworths Aotea->Woolworths Tawa->Centre Port,3086.8399999999997,4500.0,7586.84,126.44733333333333,126.44733333333333,0.0,421.49111111111114,0.0,421.49111111111114
Centre Port->Woolworths Aotea->Woolworths Crofton Downs->Centre Port,3852.0499999999997,6300.0,10152.05,169.20083333333332,169.20083333333332,0.0,564.0027777777777,0.0,564.0027777777777
Centre Port->Woolworths Aotea->Woolworths Johnsonville->Centre Port,3266.9300000000003,6300.0,9566.93,159.44883333333334,159.44883333333334,0.0,531.4961111111112,0.0,531.4961111111112
Centre Port->Woolworths Aotea->Woolworths Maidstone->Centre Port,5674.61,6300.0,11974.61,199.57683333333335,180.0,19.576833333333354,600.0,89.72715277777787,689.7271527777779
Centre Port->Woolworths Aotea->FreshChoice Cannons Creek->Centre Port,3143.5199999999995,5400.0,8543.52,142.392,142.392,0.0,474.64,0.0,474.64
Centre Port->Woolworths Upper Hutt->Woolworths Kilbirnie->Centre Port,5853.38,5400.0,11253.380000000001,187.55633333333336,180.0,7.556333333333356,600.0,34.63319444444455,634.6331944444446
