route,total_cost
Centre Port->Woolworths Porirua->Woolworths Aotea->Centre Port,541.5694444444445
Centre Port->Woolworths Porirua->Woolworths Upper Hutt->Centre Port,718.7809027777779
Centre Port->Woolworths Porirua->Woolworths Johnsonville Mall->Centre Port,528.8911111111112
Centre Port->Woolworths Porirua->Woolworths Newtown->Centre Port,564.1311111111112
Centre Port->Woolworths Porirua->Metro Cable Car Lane->Centre Port,489.27500000000003
Centre Port->Woolworths Porirua->Woolworths Lower Hutt->Centre Port,593.32
Centre Port->Woolworths Porirua->Woolworths Queensgate->Centre Port,606.0828472222222
Centre Port->Woolworths Porirua->Woolworths Tawa->Centre Port,467.6411111111112
Centre Port->Woolworths Porirua->Woolworths Crofton Downs->Centre Port,613.9600694444443
Centre Port->Woolworths Porirua->Woolworths Johnsonville->Centre Port,577.6461111111112
Centre Port->Woolworths Porirua->Woolworths Maidstone->Centre Port,787.8456249999999
Centre Port->Woolworths Porirua->FreshChoice Cannons Creek->Centre Port,541.3994444444445
Centre Port->Woolworths Aotea->Woolworths Kilbirnie->Centre Port,548.7788888888889
Centre Port->Woolworths Aotea->Woolworths Wainuiomata->Centre Port,699.4621527777778
Centre Port->Woolworths Aotea->FreshChoice Woburn->Centre Port,504.89722222222224
Centre Port->Woolworths Aotea->Woolworths Petone->Centre Port,518.3511111111112
Centre Port->Woolworths Aotea->FreshChoice Cuba Street->Centre Port,442.93055555555554
Centre Port->Woolworths Aotea->Woolworths Karori->Centre Port,548.6472222222222
Centre Port->Woolworths Aotea->Woolworths Porirua->Centre Port,543.4733333333334
Centre Port->Woolworths Aotea->Woolworths Upper Hutt->Centre Port,620.6616666666666
Centre Port->Woolworths Aotea->Woolworths Johnsonville Mall->Centre Port,482.7411111111112
Centre Port->Woolworths Aotea->Woolworths Newtown->Centre Port,517.9811111111111
Centre Port->Woolworths Aotea->Metro Cable Car Lane->Centre Port,443.125
Centre Port->Woolworths Aotea->Woolworths Lower Hutt->Centre Port,542.075
Centre Port->Woolworths Aotea->Woolworths Queensgate->Centre Port,553.178888888889
Centre Port->Woolworths Aotea->Woolworths Tawa->Centre Port,421.49111111111114
Centre Port->Woolworths Aotea->Woolworths Crofton Downs->Centre Port,564.0027777777777
Centre Port->Woolworths Aotea->Woolworths Johnsonville->Centre Port,531.4961111111112
Centre Port->Woolworths Aotea->Woolworths Maidstone->Centre Port,689.7271527777779
Centre Port->Woolworths Aotea->FreshChoice Cannons Creek->Centre Port,474.64
Centre Port->Woolworths Upper Hutt->Woolworths Kilbirnie->Centre Port,634.6331944444446
Centre Port->Woolworths Upper Hutt->Woolworths Wainuiomata->Centre Port,723.7087499999999
Centre Port->Woolworths Upper Hutt->FreshChoice Woburn->Centre Port,522.5311111111112
Centre Port->Woolworths Upper Hutt->Woolworths Petone->Centre Port,559.9822222222223
Centre Port->Woolworths Upper Hutt->FreshChoice Cuba Street->Centre Port,519.3394444444446
Centre Port->Woolworths Upper Hutt->Woolworths Karori->Centre Port,634.4513888888889
Centre Port->Woolworths Upper Hutt->Woolworths Porirua->Centre Port,723.3138194444446
Centre Port->Woolworths Upper Hutt->Woolworths Aotea->Centre Port,625.3993055555555
Centre Port->Woolworths Upper Hutt->Woolworths Johnsonville Mall->Centre Port,587.0222222222224
Centre Port->Woolworths Upper Hutt->Woolworths Newtown->Centre Port,594.3894444444445
Centre Port->Woolworths Upper Hutt->Metro Cable Car Lane->Centre Port,519.5333333333333
Centre Port->Woolworths Upper Hutt->Woolworths Lower Hutt->Centre Port,559.708888888889
Centre Port->Woolworths Upper Hutt->Woolworths Queensgate->Centre Port,570.8127777777779
Centre Port->Woolworths Upper Hutt->Woolworths Tawa->Centre Port,543.505
Centre Port->Woolworths Upper Hutt->Woolworths Crofton Downs->Centre Port,677.7356250000001
Centre Port->Woolworths Upper Hutt->Woolworths Johnsonville->Centre Port,646.2374305555556
Centre Port->Woolworths Upper Hutt->Woolworths Maidstone->Centre Port,601.4750694444444
Centre Port->Woolworths Upper Hutt->FreshChoice Cannons Creek->Centre Port,626.7979861111111
Centre Port->Woolworths Johnsonville Mall->Woolworths Kilbirnie->Centre Port,456.3633333333334
Centre Port->Woolworths Johnsonville Mall->Woolworths Wainuiomata->Centre Port,585.0155555555556
Centre Port->Woolworths Johnsonville Mall->FreshChoice Woburn->Centre Port,417.5766666666666
Centre Port->Woolworths Johnsonville Mall->Woolworths Petone->Centre Port,425.9355555555556
Centre Port->Woolworths Johnsonville Mall->FreshChoice Cuba Street->Centre Port,350.51500000000004
Centre Port->Woolworths Johnsonville Mall->Woolworths Karori->Centre Port,456.2316666666666
Centre Port->Woolworths Johnsonville Mall->Woolworths Porirua->Centre Port,526.3588888888888
Centre Port->Woolworths Johnsonville Mall->Woolworths Aotea->Centre Port,480.20833333333337
Centre Port->Woolworths Johnsonville Mall->Woolworths Upper Hutt->Centre Port,585.8588888888889
Centre Port->Woolworths Johnsonville Mall->Woolworths Newtown->Centre Port,425.5655555555556
Centre Port->Woolworths Johnsonville Mall->Metro Cable Car Lane->Centre Port,350.70944444444444
Centre Port->Woolworths Johnsonville Mall->Woolworths Lower Hutt->Centre Port,454.75444444444446
Centre Port->Woolworths Johnsonville Mall->Woolworths Queensgate->Centre Port,465.8583333333334
Centre Port->Woolworths Johnsonville Mall->Woolworths Tawa->Centre Port,397.2811111111111
Centre Port->Woolworths Johnsonville Mall->Woolworths Crofton Downs->Centre Port,461.29777777777787
Centre Port->Woolworths Johnsonville Mall->Woolworths Johnsonville->Centre Port,433.2744444444445
Centre Port->Woolworths Johnsonville Mall->Woolworths Maidstone->Centre Port,649.6214583333334
Centre Port->Woolworths Johnsonville Mall->FreshChoice Cannons Creek->Centre Port,480.0377777777778
Centre Port->Woolworths Newtown->Woolworths Kilbirnie->Centre Port,395.68666666666667
Centre Port->Woolworths Newtown->Woolworths Wainuiomata->Centre Port,594.5061111111112
Centre Port->Woolworths Newtown->FreshChoice Woburn->Centre Port,427.06722222222226
Centre Port->Woolworths Newtown->Woolworths Petone->Centre Port,435.42611111111114
Centre Port->Woolworths Newtown->FreshChoice Cuba Street->Centre Port,319.2583333333333
Centre Port->Woolworths Newtown->Woolworths Karori->Centre Port,422.69666666666666
Centre Port->Woolworths Newtown->Woolworths Porirua->Centre Port,565.0911111111111
Centre Port->Woolworths Newtown->Woolworths Aotea->Centre Port,518.9405555555555
Centre Port->Woolworths Newtown->Woolworths Upper Hutt->Centre Port,595.3494444444445
Centre Port->Woolworths Newtown->Woolworths Johnsonville Mall->Centre Port,426.52555555555557
Centre Port->Woolworths Newtown->Metro Cable Car Lane->Centre Port,324.44944444444445
Centre Port->Woolworths Newtown->Woolworths Lower Hutt->Centre Port,464.24444444444447
Centre Port->Woolworths Newtown->Woolworths Queensgate->Centre Port,475.34833333333336
Centre Port->Woolworths Newtown->Woolworths Tawa->Centre Port,436.0133333333334
Centre Port->Woolworths Newtown->Woolworths Crofton Downs->Centre Port,470.1433333333334
Centre Port->Woolworths Newtown->Woolworths Johnsonville->Centre Port,473.1305555555556
Centre Port->Woolworths Newtown->Woolworths Maidstone->Centre Port,662.6709722222222
Centre Port->Woolworths Newtown->FreshChoice Cannons Creek->Centre Port,518.77
Centre Port->Metro Cable Car Lane->Woolworths Kilbirnie->Centre Port,351.74888888888887
Centre Port->Metro Cable Car Lane->Woolworths Wainuiomata->Centre Port,516.9633333333334
Centre Port->Metro Cable Car Lane->FreshChoice Woburn->Centre Port,349.5238888888889
Centre Port->Metro Cable Car Lane->Woolworths Petone->Centre Port,357.8833333333333
Centre Port->Metro Cable Car Lane->FreshChoice Cuba Street->Centre Port,240.29999999999998
Centre Port->Metro Cable Car Lane->Woolworths Karori->Centre Port,349.9555555555556
Centre Port->Metro Cable Car Lane->Woolworths Porirua->Centre Port,487.54777777777787
Centre Port->Metro Cable Car Lane->Woolworths Aotea->Centre Port,441.3972222222222
Centre Port->Metro Cable Car Lane->Woolworths Upper Hutt->Centre Port,517.8061111111111
Centre Port->Metro Cable Car Lane->Woolworths Johnsonville Mall->Centre Port,348.9827777777778
Centre Port->Metro Cable Car Lane->Woolworths Newtown->Centre Port,320.9511111111111
Centre Port->Metro Cable Car Lane->Woolworths Lower Hutt->Centre Port,386.7016666666667
Centre Port->Metro Cable Car Lane->Woolworths Queensgate->Centre Port,397.8055555555556
Centre Port->Metro Cable Car Lane->Woolworths Tawa->Centre Port,358.47
Centre Port->Metro Cable Car Lane->Woolworths Crofton Downs->Centre Port,392.6
Centre Port->Metro Cable Car Lane->Woolworths Johnsonville->Centre Port,395.5877777777778
Centre Port->Metro Cable Car Lane->Woolworths Maidstone->Centre Port,568.0355555555556
Centre Port->Metro Cable Car Lane->FreshChoice Cannons Creek->Centre Port,441.2272222222222
Centre Port->Woolworths Lower Hutt->Woolworths Kilbirnie->Centre Port,494.0827777777778
Centre Port->Woolworths Lower Hutt->Woolworths Wainuiomata->Centre Port,549.9894444444445
Centre Port->Woolworths Lower Hutt->FreshChoice Woburn->Centre Port,382.55055555555555
Centre Port->Woolworths Lower Hutt->Woolworths Petone->Centre Port,428.8772222222222
Centre Port->Woolworths Lower Hutt->FreshChoice Cuba Street->Centre Port,388.2344444444445
Centre Port->Woolworths Lower Hutt->Woolworths Karori->Centre Port,493.9505555555556
Centre Port->Woolworths Lower Hutt->Woolworths Porirua->Centre Port,594.4827777777779
Centre Port->Woolworths Lower Hutt->Woolworths Aotea->Centre Port,548.3322222222222
Centre Port->Woolworths Lower Hutt->Woolworths Upper Hutt->Centre Port,560.9744444444445
Centre Port->Woolworths Lower Hutt->Woolworths Johnsonville Mall->Centre Port,455.9172222222223
Centre Port->Woolworths Lower Hutt->Woolworths Newtown->Centre Port,463.28444444444455
Centre Port->Woolworths Lower Hutt->Metro Cable Car Lane->Centre Port,388.42833333333334
Centre Port->Woolworths Lower Hutt->Woolworths Queensgate->Centre Port,428.7627777777777
Centre Port->Woolworths Lower Hutt->Woolworths Tawa->Centre Port,468.6261111111112
Centre Port->Woolworths Lower Hutt->Woolworths Crofton Downs->Centre Port,525.43
Centre Port->Woolworths Lower Hutt->Woolworths Johnsonville->Centre Port,502.52222222222224
Centre Port->Woolworths Lower Hutt->Woolworths Maidstone->Centre Port,615.4053472222222
Centre Port->Woolworths Lower Hutt->FreshChoice Cannons Creek->Centre Port,548.1616666666666
Centre Port->Woolworths Queensgate->Woolworths Kilbirnie->Centre Port,505.1866666666667
Centre Port->Woolworths Queensgate->Woolworths Wainuiomata->Centre Port,551.5677777777778
Centre Port->Woolworths Queensgate->FreshChoice Woburn->Centre Port,384.12888888888887
Centre Port->Woolworths Queensgate->Woolworths Petone->Centre Port,434.12722222222226
Centre Port->Woolworths Queensgate->FreshChoice Cuba Street->Centre Port,399.33833333333337
Centre Port->Woolworths Queensgate->Woolworths Karori->Centre Port,505.05500000000006
Centre Port->Woolworths Queensgate->Woolworths Porirua->Centre Port,607.6816666666666
Centre Port->Woolworths Queensgate->Woolworths Aotea->Centre Port,559.4361111111111
Centre Port->Woolworths Queensgate->Woolworths Upper Hutt->Centre Port,572.078888888889
Centre Port->Woolworths Queensgate->Woolworths Johnsonville Mall->Centre Port,467.02166666666665
Centre Port->Woolworths Queensgate->Woolworths Newtown->Centre Port,474.3888888888889
Centre Port->Woolworths Queensgate->Metro Cable Car Lane->Centre Port,399.5327777777778
Centre Port->Woolworths Queensgate->Woolworths Lower Hutt->Centre Port,428.6566666666667
Centre Port->Woolworths Queensgate->Woolworths Tawa->Centre Port,479.7305555555556
Centre Port->Woolworths Queensgate->Woolworths Crofton Downs->Centre Port,536.5344444444445
Centre Port->Woolworths Queensgate->Woolworths Johnsonville->Centre Port,513.6261111111112
Centre Port->Woolworths Queensgate->Woolworths Maidstone->Centre Port,630.6731944444446
Centre Port->Woolworths Queensgate->FreshChoice Cannons Creek->Centre Port,559.2661111111112
Centre Port->Woolworths Tawa->Woolworths Kilbirnie->Centre Port,465.85166666666674
Centre Port->Woolworths Tawa->Woolworths Wainuiomata->Centre Port,594.5038888888889
Centre Port->Woolworths Tawa->FreshChoice Woburn->Centre Port,427.065
Centre Port->Woolworths Tawa->Woolworths Petone->Centre Port,435.42388888888894
Centre Port->Woolworths Tawa->FreshChoice Cuba Street->Centre Port,360.00333333333333
Centre Port->Woolworths Tawa->Woolworths Karori->Centre Port,465.71999999999997
Centre Port->Woolworths Tawa->Woolworths Porirua->Centre Port,512.843888888889
Centre Port->Woolworths Tawa->Woolworths Aotea->Centre Port,466.69333333333327
Centre Port->Woolworths Tawa->Woolworths Upper Hutt->Centre Port,588.0111111111112
Centre Port->Woolworths Tawa->Woolworths Johnsonville Mall->Centre Port,399.81388888888887
Centre Port->Woolworths Tawa->Woolworths Newtown->Centre Port,435.0538888888889
Centre Port->Woolworths Tawa->Metro Cable Car Lane->Centre Port,360.1977777777778
Centre Port->Woolworths Tawa->Woolworths Lower Hutt->Centre Port,464.24222222222227
Centre Port->Woolworths Tawa->Woolworths Queensgate->Centre Port,475.34611111111104
Centre Port->Woolworths Tawa->Woolworths Crofton Downs->Centre Port,481.0750000000001
Centre Port->Woolworths Tawa->Woolworths Johnsonville->Centre Port,448.56888888888886
Centre Port->Woolworths Tawa->Woolworths Maidstone->Centre Port,652.5807638888888
Centre Port->Woolworths Tawa->FreshChoice Cannons Creek->Centre Port,466.5233333333333
Centre Port->Woolworths Crofton Downs->Woolworths Kilbirnie->Centre Port,501.91500000000013
Centre Port->Woolworths Crofton Downs->Woolworths Wainuiomata->Centre Port,682.8536805555556
Centre Port->Woolworths Crofton Downs->FreshChoice Woburn->Centre Port,492.8183333333333
Centre Port->Woolworths Crofton Downs->Woolworths Petone->Centre Port,501.17722222222227
Centre Port->Woolworths Crofton Downs->FreshChoice Cuba Street->Centre Port,396.06666666666666
Centre Port->Woolworths Crofton Downs->Woolworths Karori->Centre Port,472.87222222222226
Centre Port->Woolworths Crofton Downs->Woolworths Porirua->Centre Port,615.5642361111112
Centre Port->Woolworths Crofton Downs->Woolworths Aotea->Centre Port,565.1688888888889
Centre Port->Woolworths Crofton Downs->Woolworths Upper Hutt->Centre Port,684.0132638888888
